S,,10103,2016,EJECUCIONDEGASTOS,,,,,,,,,,,,,,,,,,
CONTROL,CONCEPTO,VIGENCIA,DEPENDENCIA,RECURSOS,ORIGEN,DESTINACION,FINALIDAD,SITUACION,No COMP,No OBLI,No PAGO,RECIPROCA,COMP ANTICIPO,COMP SIN ANTICIPO,REVER COMP,OBLIGACION,REVER OBLI,PAGOS,ANULACION PAGOS,RESERVAS,CXP,OBLI X EJEC
D,2.1.01.01.98,1,16,10,001,010,70111,C,54,54,54,000000000000000,0,1594200,0,1499447,0,1445813,0,94753,53634,0
D,2.1.01.02.03,1,16,10,001,010,70111,C,4,8,8,000000000000000,0,34655000,0,17142000,0,5385500,0,17513000,11756500,0
D,2.1.01.02.09,1,16,10,001,010,70111,C,7,13,11,000000000000000,0,32360300,0,15480150,0,5740075,0,16880150,9740075,0
D,2.1.01.03.01.01.01,1,16,10,001,010,70111,C,30,30,30,000000000000000,0,22889371,0,22889371,0,22889371,0,0,0,0
D,2.1.01.03.01.01.03.01,1,16,10,001,010,70111,C,23,23,23,000000000000000,0,2768539,0,2768539,0,2768539,0,0,0,0
D,2.1.01.03.01.01.05.01,1,16,10,001,010,70111,C,23,23,23,000000000000000,0,1960900,0,1960900,0,1960900,0,0,0,0
D,2.1.01.03.01.03.01,1,16,10,001,010,70111,C,53,53,53,000000000000000,0,230900,0,230900,0,230900,0,0,0,0
D,2.1.01.03.01.03.03,1,16,10,001,010,70111,C,53,53,53,000000000000000,0,1383400,0,1383400,0,1383400,0,0,0,0
D,2.1.01.03.01.03.05,1,16,10,001,010,70111,C,53,53,53,000000000000000,0,230900,0,230900,0,230900,0,0,0,0
D,2.1.01.03.01.03.07,1,16,10,001,010,70111,C,53,53,53,000000000000000,0,461000,0,461000,0,461000,0,0,0,0
D,2.1.01.03.03.01.03,1,16,10,001,010,70111,C,30,30,30,000000000000000,0,2490339,0,2490339,0,2490339,0,0,0,0
D,2.1.01.03.03.01.05,1,16,10,001,010,70111,C,30,30,30,000000000000000,0,1763900,0,1763900,0,1763900,0,0,0,0
D,2.1.01.03.03.02,1,16,10,001,010,70111,C,53,53,53,000000000000000,0,440600,0,440600,0,440600,0,0,0,0
D,2.1.01.03.03.03,1,16,10,001,010,70111,C,53,53,53,000000000000000,0,1845200,0,1845200,0,1845200,0,0,0,0
D,2.1.02.02.03,1,16,10,001,010,70111,C,21,42,41,000000000000000,787000,2981550,36300,3542850,0,3530180,0,225700,12670,0
D,2.1.02.02.07,1,16,10,001,010,70111,C,6,6,6,000000000000000,0,2666141,0,2666141,0,2666141,0,0,0,0
D,2.1.02.02.21,1,16,10,001,010,70111,C,1,1,0,000000000000000,0,75000000,0,13636000,0,0,0,61364000,13636000,0
D,2.1.02.02.21,3,16,10,001,001,70111,C,0,0,1,000000000000000,0,0,0,0,0,7778400,0,0,0,0
D,2.1.02.02.23,1,16,10,001,010,70111,C,2,2,2,000000000000000,0,13915,0,13915,0,13915,0,0,0,0
D,2.1.02.02.98,1,16,10,001,010,70111,C,1,1,1,000000000000000,0,69600,0,69600,0,69600,0,0,0,0
D,2.3.02.01.01.19,3,16,10,001,001,70111,C,0,0,3,000000000000000,0,0,0,0,0,297231000,0,0,0,0
D,2.3.02.01.01.19,1,16,10,013,016,70111,C,1,1,0,000000000000000,0,240000000,0,45108186,0,0,0,194891814,45108186,0
D,2.3.03.02.57,1,16,10,013,015,70111,S,62,62,62,000000000000000,0,6128510956,0,6128510956,0,6128510956,0,0,0,0
D,2.3.03.02.57,1,16,10,019,015,70111,S,62,62,62,013601010000000,0,8492536303,0,8492536303,0,8492536303,0,0,0,0
D,2.3.03.02.61,3,16,10,001,001,70111,C,0,0,1,000000000000000,0,0,0,0,0,416180,0,0,0,0
D,2.3.03.02.61,1,16,10,013,011,70111,C,1,1,1,000000000000000,75500000,0,0,0,0,0,0,75500000,0,0
D,2.1.01.01.01.01,1,02,10,001,106,70111,C,0,0,0,000000000000000,0,24518649 ,0,24518649 ,0,0 ,0,0,0,0
