S,,10103,2016,PROGRAMACIONDEGASTOS,,,,,,,,,,,,,
CONTROL,CONCEPTOS,VIGENCIA,RECURSOS,ORIEGEN,DESTINACION,FINALIDAD,INICIAL,ADICIONES,REDUCIONES,CANCELACIONES,CREDITOS,CONTRACREDITOS,APLAAMIENTOS,DESAPLAZAMIENTOS,DEFINITIVO,CDPS,REVERSION CDPS
D,2.1.02.02.05,3,10,001,106,70111,6430400,0,0,0,0,0,0,0,0,0,0
D,2.1.02.02.06,3,10,001,099,70111,1306998,0,0,0,0,0,0,0,0,0,0
D,2.1.02.02.13,3,10,001,106,70111,18211040,0,0,0,0,0,0,0,0,0,0
D,2.1.02.02.15,3,10,001,106,70111,15602000,0,0,0,0,0,0,0,0,0,0
D,2.1.02.02.21,3,10,001,106,70111,370000,0,0,0,0,0,0,0,0,0,0
D,2.1.02.02.27,3,10,001,106,70111,833000,0,0,0,0,0,0,0,0,0,0
D,2.1.02.02.29,3,10,001,106,70111,3500000,0,0,0,0,0,0,0,0,0,0
D,2.1.02.02.98,3,10,001,106,70111,79096248,0,0,0,0,0,0,0,0,0,0
D,2.1.03.01.01.03.01.01.01,3,10,002,017,70111,9289247,0,0,0,0,0,0,0,0,0,0
D,2.1.03.01.01.03.01.01.01,3,10,047,017,70111,24740209,0,0,0,0,0,0,0,0,0,0
D,2.1.03.01.05.03.01.01.03,3,10,001,074,7036,6861977,0,0,0,0,0,0,0,0,0,0
D,2.1.03.01.05.03.01.01.03,3,10,002,017,70111,27942688,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.01.13,3,11,042,027,7051,101394414,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.01.17,3,10,001,062,7066,19221200,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.01.33,3,10,037,039,7045101,16068007,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.01.49,3,10,013,002,7095,7714891.76,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.02.05,3,10,040,002,7095,17867799,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.02.05,3,11,042,002,7095,183369013.4,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.03.07,3,10,013,017,7056,27730000,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.03.15,3,10,013,024,7063,16238470,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.03.33,3,10,001,039,7045101,4608823,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.03.33,3,11,042,007,7045101,62374306,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.03.39,3,10,001,048,7082,7500000,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.03.47,3,10,001,065,70473,11950000,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.03.55,3,10,001,086,7064,5510477,0,0,0,0,0,0,0,0,0,0
D,2.3.01.01.03.98,3,10,013,021,7052,17500000,0,0,0,0,0,0,0,0,0,0
D,2.3.01.02.03,3,10,013,066,7062,13927299.15,0,0,0,0,0,0,0,0,0,0
D,2.3.02.01.01.07,3,10,013,002,7095,91582756,0,0,0,0,0,0,0,0,0,0
D,2.3.02.01.02.01,3,10,001,039,7045101,14797040,0,0,0,0,0,0,0,0,0,0
D,2.3.02.02.01.03,3,10,013,002,7095,11111115,0,0,0,0,0,0,0,0,0,0
D,2.3.03.01.35,3,11,042,002,7094103,122100000,0,0,0,0,0,0,0,0,0,0
D,2.3.03.01.35,3,11,042,007,7094103,60000000,0,0,0,0,0,0,0,0,0,0
D,2.3.03.01.37,3,10,001,007,7094103,130000000,0,0,0,0,0,0,0,0,0,0
D,2.3.03.01.98,3,10,001,028,7109,28600000,0,0,0,0,0,0,0,0,0,0
D,2.3.03.01.98,3,10,013,049,7042101,16776771,0,0,0,0,0,0,0,0,0,0
D,2.3.03.01.98,3,10,019,066,7105,1483000,0,0,0,0,0,0,0,0,0,0
D,2.3.03.02.07,3,10,001,028,7102,19601340,0,0,0,0,0,0,0,0,0,0
D,2.3.03.02.09,3,10,013,028,7104,94739899,0,0,0,0,0,0,0,0,0,0
D,2.3.03.02.09,3,10,019,028,7104,5391868,0,0,0,0,0,0,0,0,0,0
D,2.3.03.02.19,3,10,013,028,7062,14572191,0,0,0,0,0,0,0,0,0,0
D,2.3.03.02.25,3,10,001,048,7082,32741000,0,0,0,0,0,0,0,0,0,0
D,2.3.03.02.25,3,10,013,048,7082,15057724,0,0,0,0,0,0,0,0,0,0
D,2.3.03.02.98,3,10,013,028,7109,19147800,0,0,0,0,0,0,0,0,0,0
D,2.3.04.03.98,3,10,013,022,7063,50000000,0,0,0,0,0,0,0,0,0,0
