M;68;264;Encino;
M;68;266;Enciso;
M;68;271;Florian;
M;68;276;Floridablanca;
M;68;296;Galan;
M;68;298;Gambita;
M;68;307;Giron;
M;68;318;Guaca;
M;68;320;Guadalupe;
M;68;322;Guapota;
M;68;324;Guavata;
M;68;327;Guepsa;
M;68;344;Hato;
M;68;368;Jesus Maria;
M;68;370;Jordan;
M;68;377;La Belleza;
M;68;385;Landazuri;
M;68;397;La Paz;
M;68;406;Lebrija;
M;68;418;Los Santos;
M;68;425;Macaravita;
M;68;432;Malaga;
M;68;444;Matanza;
M;68;464;Mogotes;
M;68;468;Molagavita;
M;68;498;Ocamonte;
M;68;500;Oiba;
M;68;502;Onzaga;
M;68;522;Palmar;
M;68;524;Palmas del Socorro;
M;68;533;Paramo;
M;68;547;Piedecuesta;
M;68;549;Pinchote;
M;68;572;Puente Nacional;
M;68;573;Puerto Parra;
M;68;575;Puerto Wilches;
M;68;615;Rionegro;
M;68;655;Sabana de Torres;
M;68;669;San Andres;
M;68;673;San Benito;
M;68;679;San Gil;
M;68;682;San Joaquin;
M;68;684;San Jose de Miranda;
M;68;686;San Miguel;
M;68;689;San Vicente de Chucuri;
M;68;705;Santa Barbara;
M;68;720;Santa Helena;
M;68;745;Simacota;
M;68;755;Socorro;
M;68;770;Suaita;
M;68;773;Sucre;
M;68;780;Surata;
M;68;820;Tona;
M;68;855;Valle San Jose;
M;68;861;Velez;
M;68;867;Vetas;
M;68;872;Villanueva;
M;68;895;Zapatoca;
M;70;001;Sincelejo;
M;70;110;Buenavista;
M;70;124;Caimito;
M;70;204;Coloso;
M;70;215;Corozal;
M;70;221;Coveñas;
M;70;230;Chalan;
M;70;233;El Roble;
M;70;235;Galeras;
M;70;265;Guaranda;
M;70;400;La Union;
M;70;418;Los Palmitos;
M;70;429;Majagual;
M;70;473;Morroa;
M;70;508;Ovejas;
M;70;523;Palmito;
M;70;670;Sampues;
M;70;678;San Benito Abad;
M;70;702;San Juan de betulia;
M;70;708;San Marcos;
M;70;713;San Onofre;
M;70;717;San Pedro;
M;70;742;Since;
M;70;771;Sucre;
M;70;820;Tolu;
M;70;823;Toluviejo;
M;73;001;Ibague;
M;73;024;Alpujarra;
M;73;026;Alvarado;
M;73;030;Ambalema;
M;73;043;Anzoategui;
M;73;055;Armero(Guayabal);
M;73;067;Ataco;
M;73;124;Cajamarca;
M;73;148;Carmen Apicala;
M;73;152;Casabianca;
M;73;168;Chaparral;
M;73;200;Coello;
M;73;217;Coyaima;
M;73;226;Cunday;
M;73;236;Dolores;
M;73;268;Espinal;
M;73;270;Falan;
M;73;275;Flandes;
M;73;283;Fresno;
M;73;319;Guamo;
M;73;347;Herveo;
M;73;349;Honda;
