CTRL,CODIGO,RAZ SOCIAL,IDENT,VIGENCIA, IMPUESTO , AVISOS , BOMBERIL , CULTURA , PATENTE , EXTEM , SANCION , INTERESES , SAL. FAV , INSENT , TOTAL , NUMERO DE RECIBO , DESCUENTO IMPUESTO , DESCUETO VALLAS , CTA BANCO 
D,22466,FERROCOLOR,790036720,2013,1652000,248000,114000,12000,22000,0,0,0,117000,190000,1741000,1439,165000,25000,1110050511
D,22545,DISTRIGUAYAS Y LUBRICANTES,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1440,12000,2000,1110050511
D,22832,CACHARRERIA EL PUNT DE LA FANTASIA ,790036720,2013,19002000,2850000,1311000,12000,22000,0,0,0,25000,2185000,20987000,1441,1900000,285000,1110050511
D,22967,BABYLANDIA LA SEPTIMA,790036720,2013,551000,83000,38000,12000,22000,0,0,0,55000,63000,588000,1442,55000,8000,1110050511
D,23051,SYLVIA EXCLUSIVIDAD ALMCEN,790036720,2013,138000,21000,10000,12000,22000,0,0,0,0,16000,187000,1443,14000,2000,1110050511
D,23177,DECORA LA 5,790036720,2013,479000,72000,33000,12000,22000,0,0,0,50000,55000,513000,1444,48000,7000,1110050511
D,23212,FERRETERIA HILTON ,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1445,12000,2000,1110050511
D,23228,CASA DEL REPUESTO CABRERA ,790036720,2013,785000,118000,54000,12000,22000,0,0,0,0,90000,901000,1446,79000,11000,1110050511
D,23229,PLAGUEX SA,790036720,2013,1661000,249000,115000,12000,22000,0,0,0,0,191000,1868000,1447,166000,25000,1110050511
D,23292,ELECTRONICA Y ELECTRICO INTERNACION,790036720,2013,144000,21600,9950,12350,21600,0,0,0,0,16000,193500,1448,14000,2000,1110050511
D,23352,ASOC DE TRABAJO LA PALMA ,790036720,2013,118000,18000,8000,12000,22000,0,0,0,0,14000,164000,1449,12000,2000,1110050511
D,23428,DISTRIBUIDORA JB PANAM,790036720,2013,552000,83000,38000,12000,22000,0,0,0,0,63000,644000,1450,55000,8000,1110050511
D,23483,FERRETERIA LA FRONTERA LA 17,790036720,2013,2078000,312000,143000,12000,22000,0,0,0,170000,238000,2159000,1451,208000,30000,1110050511
D,23605,SURTIPLASTICOS PUENES,790036720,2013,123000,19000,8000,12000,22000,0,0,0,0,14000,170000,1011,12000,2000,1110050511
D,23623,NET GAMES DAC,790036720,2013,123000,18000,8000,12000,22000,0,0,0,0,14000,169000,1012,12000,2000,1110050511
